split,label,dataset,path
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1006_0.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1306_0.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1306_1.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1306_2.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1306_3.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1306_4.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1306_5.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1466_0.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_1514_2.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_175_0.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_196_1.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_221_3.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_40_1.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_464_2.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_467_0.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_467_2.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_467_4.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_467_5.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_523_0.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_604_0.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_671_0.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_785_8.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_785_9.jpg
test,Artillery,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Artillery\KIIT-MiTA_image_s3r2_kiit_973_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008663_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008718_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008719_1.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008719_3.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008720_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008721_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008724_0.jpg
